(0, 0, S)
(0, 1, O)
(0, 2, R)
(0, 3, R)
(0, 4, R)
(0, 5, R)
(0, 6, O)
(0, 7, R)
(0, 8, R)
(0, 9, R)
(0, 10, R)
(0, 11, O)
(0, 12, R)
(0, 13, O)
(0, 14, R)
(0, 15, R)
(0, 16, R)
(0, 17, R)
(0, 18, O)
(0, 19, R)
(0, 20, R)
(0, 21, R)
(0, 22, R)
(0, 23, R)
(0, 24, R)
(0, 25, R)
(0, 26, R)
(0, 27, R)
(0, 28, O)
(0, 29, R)
(0, 30, R)
(0, 31, O)
(0, 32, R)
(0, 33, R)
(0, 34, R)
(0, 35, R)
(0, 36, R)
(0, 37, R)
(0, 38, R)
(0, 39, R)
(0, 40, O)
(0, 41, R)
(0, 42, R)
(0, 43, R)
(0, 44, O)
(0, 45, O)
(0, 46, R)
(0, 47, R)
(0, 48, O)
(0, 49, R)
(1, 0, O)
(1, 1, R)
(1, 2, R)
(1, 3, R)
(1, 4, R)
(1, 5, R)
(1, 6, R)
(1, 7, R)
(1, 8, R)
(1, 9, R)
(1, 10, R)
(1, 11, R)
(1, 12, O)
(1, 13, R)
(1, 14, R)
(1, 15, O)
(1, 16, O)
(1, 17, R)
(1, 18, R)
(1, 19, R)
(1, 20, O)
(1, 21, R)
(1, 22, O)
(1, 23, O)
(1, 24, R)
(1, 25, O)
(1, 26, R)
(1, 27, R)
(1, 28, R)
(1, 29, R)
(1, 30, R)
(1, 31, R)
(1, 32, R)
(1, 33, O)
(1, 34, O)
(1, 35, R)
(1, 36, R)
(1, 37, R)
(1, 38, R)
(1, 39, R)
(1, 40, R)
(1, 41, O)
(1, 42, R)
(1, 43, R)
(1, 44, O)
(1, 45, R)
(1, 46, R)
(1, 47, O)
(1, 48, R)
(1, 49, O)
(2, 0, R)
(2, 1, R)
(2, 2, R)
(2, 3, R)
(2, 4, R)
(2, 5, R)
(2, 6, R)
(2, 7, R)
(2, 8, O)
(2, 9, O)
(2, 10, O)
(2, 11, O)
(2, 12, R)
(2, 13, R)
(2, 14, O)
(2, 15, R)
(2, 16, R)
(2, 17, R)
(2, 18, O)
(2, 19, O)
(2, 20, R)
(2, 21, R)
(2, 22, R)
(2, 23, R)
(2, 24, O)
(2, 25, R)
(2, 26, R)
(2, 27, R)
(2, 28, R)
(2, 29, R)
(2, 30, R)
(2, 31, R)
(2, 32, R)
(2, 33, R)
(2, 34, R)
(2, 35, R)
(2, 36, R)
(2, 37, R)
(2, 38, O)
(2, 39, R)
(2, 40, R)
